ssn,name,job_title,address,email,mobile_no,phone_no
9988776655,Rose,Head flight attendant,wateveralane 89,CHANGED,6969691,88464
03204092359,sdklasflk,flight attendant,neverland,absolutely@not.com,0233495,
0210320392103,sdklasflk,flight attendant,neverland,absolutely@not.com,0233495,
sdlfkdslf,dsl;f;dsfl,sdf;ldsf;lsd,Captain,sadjaskd,ksajdks,sakdaldk
3493240,sdkff,ldkflfd344,Captain,lsdfksld@lfdklds.com,302049302,012390329
32049230,sadlkasld,sldkasldkasl,Captain,daldksldkas,daslkdlaskd,asdka
120391023,pilottest,ldksadj,Pilot,asdkasdl,asdlkasdl,asdlkajd
flightatttest,sldkfsl,Flight attendant,dsflfkdslfs,ldskfsldf,sldkflds,ldskflsdf
32090324923,captain112,sldksald,Captain,sadlksaldksad,dalksdlsak,saldkasld
112,sldlsad,saldksald,Pilot,lsakdlsad,ldslfkd,dlfkdlf
<<<<<<< HEAD
0102694749,Hildur þórsdóttir,kdkdk,Captain,hidlur@gmail.com,9993,939393
=======
04903,ldskfld,ldfkdlf,Pilot,dlfkd,ldkf,lsdkf
1000,ladkal,ldsksd,Captain,alsdk,alsakd,lsakd
>>>>>>> project
20202,hild,Flight attendant,lsks,lslks,lslksk,slsls
